[2025-11-20 18:46:08] [INFO] Link map built with 1520 entries
[2025-11-20 18:46:08] [INFO] Found 923 HTML files to convert
[2025-11-20 18:46:08] [INFO] Auto-detected threads: 12
[2025-11-20 18:46:08] [INFO] Batch size: 200
[2025-11-20 18:46:08] [INFO] Max retries: 4
[2025-11-20 18:46:08] [INFO] Strict quality: True
[2025-11-20 18:46:08] [INFO] Checkpoint enabled: True
[2025-11-20 18:46:08] [INFO] Log file: C:\Docs\MDX\_conversion_log_20251120_184607.txt
[2025-11-20 18:46:23] [SUCCESS] Client-Discovery-Agents.htm -> admin_discovery\client_discovery_agents_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:23] [SUCCESS] Client-Edit.htm -> admin_discovery\client_edit_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:23] [SUCCESS] Client-Remote-Install.htm -> admin_discovery\client_remote_install_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:23] [SUCCESS] Client-Restart.htm -> admin_discovery\client_restart_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:23] [SUCCESS] Client-Scan.htm -> admin_discovery\client_scan_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:24] [SUCCESS] Config-Services-Account.htm -> admin_discovery\config_services_account_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:24] [SUCCESS] Configuring-Application.htm -> admin_discovery\configuring_application_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:24] [SUCCESS] Correlation.htm -> admin_discovery\correlation_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:24] [SUCCESS] Credentials-Backup-File.htm -> admin_discovery\credentials_backup_file_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:25] [SUCCESS] Client.htm -> admin_discovery\client_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:25] [SUCCESS] Credentials-Details.htm -> admin_discovery\credentials_details_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:25] [SUCCESS] Credentials-Edit.htm -> admin_discovery\credentials_edit_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:25] [SUCCESS] Credentials-Flush.htm -> admin_discovery\credentials_flush_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:25] [SUCCESS] Credentials-New.htm -> admin_discovery\credentials_new_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:25] [SUCCESS] Credentials.htm -> admin_discovery\credentials_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:25] [SUCCESS] Custom-Patterns.htm -> admin_discovery\custom_patterns_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:25] [SUCCESS] Downloading-Discovery.htm -> admin_discovery\downloading_discovery_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:25] [SUCCESS] Ignore-ADM-Process.htm -> admin_discovery\ignore_adm_process_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:25] [SUCCESS] Ignore-Process.htm -> admin_discovery\ignore_process_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:25] [SUCCESS] Import-Templates.htm -> admin_discovery\import_templates_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:27] [SUCCESS] Graphical-Workflows.htm -> admin_discovery\graphical_workflows_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:27] [SUCCESS] Installation-Discovery.htm -> admin_discovery\installation_discovery_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:27] [SUCCESS] Installation-Linux.htm -> admin_discovery\installation_linux_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:27] [SUCCESS] Installation-MAC.htm -> admin_discovery\installation_mac_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:27] [SUCCESS] Installation-Uninstall.htm -> admin_discovery\installation_uninstall_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:27] [SUCCESS] Installation-Windows.htm -> admin_discovery\installation_windows_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:27] [SUCCESS] Installing Application.htm -> admin_discovery\installing_application_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:27] [SUCCESS] Major-Software-Details.htm -> admin_discovery\major_software_details_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:27] [SUCCESS] Major-Software-Edit.htm -> admin_discovery\major_software_edit_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:27] [SUCCESS] Major-Software-New.htm -> admin_discovery\major_software_new_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:27] [SUCCESS] Major-Software.htm -> admin_discovery\major_software_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:27] [SUCCESS] Mon-Prof-Action-Details.htm -> admin_discovery\mon_prof_action_details_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:27] [SUCCESS] Mon-Prof-Details.htm -> admin_discovery\mon_prof_details_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:28] [SUCCESS] Mon-Prof-Frequency.htm -> admin_discovery\mon_prof_frequency_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:28] [SUCCESS] Mon-Prof-Notifications.htm -> admin_discovery\mon_prof_notifications_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:28] [SUCCESS] Mon-Prof-Trigger-Conditions.htm -> admin_discovery\mon_prof_trigger_conditions_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:33] [SUCCESS] Mon-Prof.htm -> admin_discovery\mon_prof_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:33] [SUCCESS] Patterns.htm -> admin_discovery\patterns_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:33] [SUCCESS] Port-Config-Process.htm -> admin_discovery\port_config_process_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:33] [SUCCESS] Probe-Workflow-Edit-Delete.htm -> admin_discovery\probe_workflow_edit_delete_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:33] [SUCCESS] Probe-Workflow.htm -> admin_discovery\probe_workflow_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:33] [SUCCESS] Probes-Edit-Delete.htm -> admin_discovery\probes_edit_delete_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:33] [SUCCESS] Probes-New.htm -> admin_discovery\probes_new_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:33] [SUCCESS] Probes-Workflows-Sensors.htm -> admin_discovery\probes_workflows_sensors_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:33] [SUCCESS] Probes.htm -> admin_discovery\probes_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:33] [SUCCESS] Scan-Configuration.htm -> admin_discovery\scan_configuration_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:33] [SUCCESS] Scan-Workflow.htm -> admin_discovery\scan_workflow_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:33] [SUCCESS] Sensors-Edit-Delete.htm -> admin_discovery\sensors_edit_delete_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:33] [SUCCESS] Sensors.htm -> admin_discovery\sensors_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:34] [SUCCESS] Updating-Application.htm -> admin_discovery\updating_application_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:34] [SUCCESS] About-Event-Mngmnt.htm -> admin_event_mngmnt\about_event_mngmnt_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:34] [SUCCESS] Alert-Configuration.htm -> admin_event_mngmnt\alert_configuration_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:34] [SUCCESS] Mailbox-Configuration.htm -> admin_event_mngmnt\mailbox_configuration_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:34] [SUCCESS] About-HW-Asset-Mngmnt.htm -> admin_hardware_asset_mngmnt\about_hw_asset_mngmnt_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:35] [SUCCESS] Email-Actions.htm -> admin_event_mngmnt\email_actions_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:35] [SUCCESS] EventMailbox-Configuration.htm -> admin_event_mngmnt\eventmailbox_configuration_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:35] [SUCCESS] About-Incident-Mngmnt.htm -> admin_incident_mngmnt\about_incident_mngmnt_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:37] [SUCCESS] Hardware-Properties.htm -> admin_hardware_asset_mngmnt\hardware_properties_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:37] [SUCCESS] Hardware-Property-Group.htm -> admin_hardware_asset_mngmnt\hardware_property_group_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:37] [SUCCESS] Incident-Auto-Escalation.htm -> admin_incident_mngmnt\incident_auto_escalation_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:37] [SUCCESS] Incident-Category.htm -> admin_incident_mngmnt\incident_category_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:37] [SUCCESS] Incident-Error-Code.htm -> admin_incident_mngmnt\incident_error_code_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:37] [SUCCESS] Incident-Model.htm -> admin_incident_mngmnt\incident_model_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:37] [SUCCESS] Incident-Priority-Calculator.htm -> admin_incident_mngmnt\incident_priority_calculator_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:37] [SUCCESS] Incident-States-SubStates.htm -> admin_incident_mngmnt\incident_states_substates_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:37] [SUCCESS] Incident-Timescale.htm -> admin_incident_mngmnt\incident_timescale_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:37] [SUCCESS] About-Integrations.htm -> admin_integrations\about_integrations_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:37] [SUCCESS] Cherwell-Credential.htm -> admin_integrations\cherwell_credential_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:37] [SUCCESS] Cherwell-Mappings-New.htm -> admin_integrations\cherwell_mappings_new_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:38] [SUCCESS] Infoblox-Config.htm -> admin_integrations\infoblox_config_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:38] [SUCCESS] Ivanti-Credentials.htm -> admin_integrations\ivanti_credentials_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:38] [SUCCESS] Ivanti-Mappings-New.htm -> admin_integrations\ivanti_mappings_new_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:39] [SUCCESS] Cherwell-Mappings.htm -> admin_integrations\cherwell_mappings_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:39] [SUCCESS] Create-Object-Schema.htm -> admin_integrations\create_object_schema_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:40] [SUCCESS] Ivanti-Mappings.htm -> admin_integrations\ivanti_mappings_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:40] [SUCCESS] Jira-Credentials.htm -> admin_integrations\jira_credentials_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:40] [SUCCESS] Jira-Mappings.htm -> admin_integrations\jira_mappings_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:40] [SUCCESS] ServiceNow-Credentials.htm -> admin_integrations\servicenow_credentials_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:40] [SUCCESS] ServiceNow-Mappings.htm -> admin_integrations\servicenow_mappings_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:40] [SUCCESS] About-Knowledge-Mngmnt.htm -> admin_knowledge_mngmnt\about_knowledge_mngmnt_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:40] [SUCCESS] Article-Helpful-Threshold.htm -> admin_knowledge_mngmnt\article_helpful_threshold_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:40] [SUCCESS] Article-Search-Logs.htm -> admin_knowledge_mngmnt\article_search_logs_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:41] [SUCCESS] About-Org-Details.htm -> admin_org_details\about_org_details_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:41] [SUCCESS] Knowledge-Model.htm -> admin_knowledge_mngmnt\knowledge_model_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:41] [SUCCESS] Knowledge-Topic.htm -> admin_knowledge_mngmnt\knowledge_topic_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:41] [SUCCESS] Departments-Members.htm -> admin_org_details\departments_members_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:42] [SUCCESS] Legislative-Detail.htm -> admin_knowledge_mngmnt\legislative_detail_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
